MP_Name,Work_Type,Amount,log_spend,peer_median,peer_mad,peer_n_mps,peer_median_spend,conc_eligible,conc_z,conc_ratio,conc_score,mp_total_amount,mp_works_n,portfolio_share,mp_cat_works_n,conc_reason
AMRARAM,Construction of boundary walls of existing public and community buildings,498249.0,13.11885523104844,13.800753921547606,0.6784135446722939,62,985351.7091490725,True,-0.6779650411665359,0.5056559961014089,0,12921597.0,24,0.038559397882475366,1,
AMRARAM,Construction of bus-sheds or bus-stops,499842.0,13.122047327465808,13.86558751291084,0.743540185445033,21,1051351.9999999995,True,-0.6745,0.4754278300702336,0,12921597.0,24,0.03868267985760584,2,
AMRARAM,Construction of common work sheds/ common covered sitting area,1197921.0,13.99609811224445,13.813291263073467,0.7598198476596352,54,997783.1659233379,True,0.16227954579710144,1.2005824921805097,0,12921597.0,24,0.09270688445089256,2,
AMRARAM,"Construction of roads, link roads, pathways or any other road with or without drainage system",6589856.0,15.701042054950115,15.057946519666173,0.917949939299187,226,3464041.467798128,True,0.47253986299098305,1.9023605985261933,0,12921597.0,24,0.5099877360360333,11,
AMRARAM,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,599779.0,13.304316533013566,13.126325517749349,0.5838245245570999,37,501985.0000000003,True,0.20563531462949466,1.1948145860932093,0,12921597.0,24,0.04641678578893925,1,
AMRARAM,Development of playground,799594.0,13.591859377828353,13.761018831344273,0.606943052395259,18,946966.3434378215,True,-0.1879880673256053,0.844374254207591,0,12921597.0,24,0.061880431652527164,1,
AMRARAM,Improvement of electricity distribution infrastructure,325374.0,12.692730568915271,12.864768028978977,0.8912752299478237,22,386453.9636230947,True,-0.13019465022018242,0.8419476331657825,0,12921597.0,24,0.02518063363220506,1,
AMRARAM,Installing tube-wells and borewells,1622949.0,14.299755422712803,13.14725957257652,0.9530793891161249,32,512604.3466944067,True,0.8156282255120809,3.1660851306973687,0,12921597.0,24,0.12559972269681527,3,
AMRARAM,Lighting of public spaces,493533.0,13.109345004920932,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,-0.894978259237073,0.1829151952892201,0,12921597.0,24,0.03819442751542244,1,
AMRARAM,Purchase of furniture and fixtures for educational purposes,294500.0,12.593034282073779,14.370339389617413,1.2488303877550573,16,1741642.8451321456,True,-0.9599320346401675,0.169093221852644,0,12921597.0,24,0.022791300487083756,1,
AMRINDER SINGH RAJA WARRING,"Construction of roads, link roads, pathways or any other road with or without drainage system",1004411.0,13.819911858017623,15.057946519666173,0.917949939299187,226,3464041.467798128,True,-0.9096949011396777,0.28995351508838624,0,5297013.0,15,0.18961837548822327,3,
AMRINDER SINGH RAJA WARRING,Installation of fixed garden gym equipment,3592602.0,15.0943872890166,14.817987059441387,0.6050596036673905,9,2725022.0000000005,False,0.0,1.318375411281083,0,5297013.0,15,0.6782316750968895,9,
AMRINDER SINGH RAJA WARRING,Installation of multi-gym equipment,200000.0,12.206072645530174,13.279020011816728,0.5307928328022182,12,584796.9733163806,False,0.0,0.34199903406784243,0,5297013.0,15,0.03775712840425349,1,
AMRINDER SINGH RAJA WARRING,Purchase of mobile water tankers,250000.0,12.429216196844383,15.03928598958639,0.8174433387947495,17,3399999.999999998,True,-2.1536563962955264,0.07352941176470593,0,5297013.0,15,0.047196410505316866,1,
AMRINDER SINGH RAJA WARRING,Security gates in streets/public place for safety purpose,250000.0,12.429216196844383,12.768119761105972,0.33890356426158874,3,350852.0,False,0.0,0.7125511611733722,0,5297013.0,15,0.047196410505316866,1,
ANAND BHADAURIYA,"Construction of roads, link roads, pathways or any other road with or without drainage system",18900545.0,16.754701315592957,15.057946519666173,0.917949939299187,226,3464041.467798128,True,1.2467576507781677,5.4562121082268344,0,38721345.0,132,0.48811695461508375,15,
ANAND BHADAURIYA,Lighting of public spaces,11289139.0,16.23935167103882,14.80807765219108,1.280249166678587,95,2698152.0000000014,True,0.7540675290712111,4.184026326166944,0,38721345.0,132,0.29154821455711316,68,
